no,group1,group2,sc0,sc1,sc2_1,sc3,q2_a1,q2_1b_1,q2_1b_2,q2_a2,q2_2b_1,q2_2b_2,q2_a3,q2_3b_1,q2_3b_2,q2_4_1,q2_4_2,q1_1,q1_2,q1_3,q1_4,q1_5,q1_6,q1_7,q1_8,q3_1,q3_2,q4_1_1,q4_1_2,q4_1_3,q4_2_1,q4_2_2,q4_2_3,q5_1,q5_2,q5_3,q5_4,q5_5,q5_6,q5_7,q5_8,q5_9,q5_10,q5_11,q5_12,q6_1,q6_2,q6_3,q6_4,sq1_1,sq1_2,sq1_3,sq1_4,sq1_5,sq1_6,sq1_7,sq1_8
138,6,,1,2,36,2,8,,,8,,,7,1,30,2,0,3,3,2,3,2,3,2,2,1,1,1,1,1,4,4,3,3,1,2,2,1,1,2,1,5,1,1,1,3,4,4,3,,,,,,,,
139,8,,1,2,59,2,8,,,8,,,2,2,0,5,0,3,3,3,3,2,3,3,3,4,4,5,5,5,6,6,6,3,2,3,3,4,3,3,3,3,3,3,3,5,4,3,4,,,,,,,,
140,5,,1,2,27,2,1,2,0,1,1,0,3,1,0,0,30,4,3,3,3,2,4,2,3,2,2,6,6,6,6,6,6,4,4,4,3,3,1,3,3,4,4,3,1,2,3,3,3,,,,,,,,
141,11,,1,1,42,2,8,,,8,,,8,,,12,0,1,5,1,5,5,1,5,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,
142,3,1,1,1,45,2,5,1,30,5,1,30,6,3,30,1,0,3,2,3,3,3,2,3,4,6,6,7,7,7,7,7,7,5,5,5,5,5,5,5,5,4,4,4,4,7,7,6,6,2,2,2,2,3,3,3,4
143,2,,1,1,38,2,8,,,1,2,0,1,0,10,1,0,5,5,5,5,5,5,1,5,7,7,7,7,7,7,7,7,5,5,5,1,1,1,5,5,5,1,5,1,7,7,7,6,,,,,,,,
144,9,1,1,1,29,2,8,,,8,,,8,,,10,0,4,1,4,1,2,5,1,2,5,5,6,5,4,4,3,3,5,4,3,2,1,1,4,4,4,2,1,2,2,2,1,1,4,1,3,1,2,4,1,2
145,1,1,1,1,26,2,8,,,8,,,2,0,30,8,0,1,5,1,5,5,1,5,1,1,1,1,5,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,4,1,1,5,1,1,4,1,4,5,1,5,1
146,1,,1,1,20,2,3,0,10,8,,,8,,,1,0,3,2,3,4,3,3,3,2,3,4,3,4,3,3,2,3,2,3,2,3,2,2,2,3,2,4,3,1,3,4,3,4,,,,,,,,
147,5,,1,2,28,2,8,,,8,,,7,10,0,8,0,1,5,3,4,3,1,4,3,2,2,6,6,6,3,6,3,3,2,4,3,4,2,4,2,3,2,4,1,4,3,3,4,,,,,,,,
148,13,1,1,2,25,2,8,,,8,,,8,,,0,20,4,3,3,3,4,4,4,4,3,3,4,4,5,4,3,4,4,3,4,3,3,2,3,4,4,2,3,3,3,2,3,3,3,4,3,4,4,3,4,3
149,6,,1,2,33,2,8,,,8,,,3,1,0,12,0,1,4,1,5,5,1,5,1,1,1,5,6,6,4,4,4,2,2,3,3,1,1,2,1,5,5,1,1,5,1,1,1,,,,,,,,
150,6,1,1,2,37,2,2,2,0,8,,,2,0,40,0,0,3,3,2,2,3,4,4,3,4,5,5,5,5,3,4,4,4,4,3,4,3,3,4,4,4,3,4,3,5,4,4,5,4,3,4,3,4,3,4,3
151,2,1,1,1,39,2,1,0,50,2,1,20,2,2,0,2,10,4,2,3,4,2,3,3,4,5,5,4,5,5,5,4,3,4,3,4,4,5,1,2,2,4,2,4,2,6,5,6,5,4,4,3,2,2,4,2,2
152,2,1,1,1,37,2,8,,,8,,,2,0,30,0,40,2,3,3,2,3,3,4,3,3,3,5,5,4,3,3,4,2,2,4,2,2,3,2,2,4,3,3,3,5,5,5,5,2,4,2,4,4,4,3,3
153,6,1,1,2,33,2,8,,,8,,,3,1,0,0,0,4,4,4,4,3,4,2,3,5,4,5,5,4,5,5,5,4,3,3,3,4,3,3,3,4,3,3,3,5,5,4,5,4,4,3,4,4,4,4,4
154,3,,1,1,43,2,8,,,8,,,1,0,30,1,0,3,3,3,2,3,3,3,3,3,3,4,4,4,4,4,4,3,4,3,4,3,3,3,3,3,3,3,2,3,3,3,3,,,,,,,,
155,4,,1,1,56,2,8,,,5,1,0,5,1,0,4,0,3,3,3,3,3,3,3,3,4,4,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,
156,12,1,1,1,56,2,8,,,8,,,8,,,0,0,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1
157,8,1,1,2,51,2,8,,,8,,,3,0,30,2,30,4,3,3,2,3,4,2,2,1,1,5,5,5,5,5,4,3,2,2,1,1,2,3,1,3,1,1,1,2,2,2,1,4,3,3,3,3,3,3,3
158,1,1,1,1,28,2,8,,,5,1,0,5,0,30,12,0,1,5,1,5,5,1,5,1,1,1,3,6,6,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,4,1,4,5,1,5,2
159,2,1,1,1,38,2,8,,,2,1,0,7,1,0,10,0,3,2,4,3,3,4,1,4,5,6,5,6,7,4,2,6,4,3,4,1,2,3,3,5,4,5,3,2,5,7,6,4,3,4,3,2,3,4,2,3
160,1,,1,1,29,2,8,,,8,,,7,0,30,10,0,1,5,1,5,5,1,5,1,1,1,5,6,6,1,1,1,1,1,1,1,1,2,1,1,4,4,1,2,1,1,1,1,,,,,,,,
161,9,1,1,1,24,2,8,,,8,,,8,,,0,0,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3
162,8,1,1,2,54,2,8,,,8,,,4,1,0,8,0,1,4,1,5,1,2,5,1,1,1,4,4,4,2,4,3,1,2,2,1,2,4,2,1,4,2,1,3,2,2,1,1,1,5,1,5,5,2,4,2
163,10,1,1,1,38,2,8,,,8,,,8,,,8,0,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3
164,3,,1,1,48,2,5,1,30,8,,,5,1,30,14,0,3,3,3,3,3,3,3,3,5,5,7,7,7,4,4,4,3,3,4,3,1,1,2,4,4,1,1,1,5,7,4,4,,,,,,,,
165,3,1,1,1,46,2,3,1,30,4,0,50,5,0,20,7,50,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3
166,1,1,1,1,24,2,4,1,0,1,0,40,2,1,0,1,0,1,2,3,3,3,3,3,3,1,2,1,3,4,2,3,4,1,2,3,3,4,4,4,4,3,3,3,3,1,2,3,4,1,2,3,3,3,3,3,3
167,4,,1,1,55,2,1,3,0,3,0,30,3,1,0,6,0,3,4,4,3,1,4,1,3,4,4,7,6,6,5,5,3,5,4,4,4,1,1,3,4,4,4,4,1,5,2,5,5,,,,,,,,
168,10,,1,1,31,2,8,,,8,,,8,,,8,0,2,4,2,4,4,2,4,2,2,2,4,5,5,3,3,3,3,2,3,3,2,3,2,2,4,2,1,4,2,2,2,2,,,,,,,,
169,5,,1,2,26,2,1,1,0,8,,,5,0,40,5,0,4,2,4,2,2,4,2,4,5,5,7,7,7,5,2,5,4,4,5,5,5,2,3,3,5,4,5,1,2,2,2,2,,,,,,,,
170,3,1,1,1,46,2,1,1,0,1,1,0,1,1,0,5,0,3,3,3,3,4,2,3,4,3,4,3,3,4,3,3,4,3,4,5,5,3,2,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3
